region,country,year,population,deceased_kidney_donors,live_kidney_donors,total_kidney_donors
Europe,Austria,2020,9,291.0,44.0,335.0
Europe,Belgium,2020,11.6,326.0,37.0,363.0
Europe,Bulgaria,2020,6.9,2.0,6.0,8.0
Europe,Croatia,2020,4.1,95.0,3.0,98.0
Europe,Denmark,2020,5.8,200.0,78.0,278.0
Europe,Estonia,2020,1.3,43.0,4.0,47.0
Europe,Finland,2020,5.5,232.0,31.0,263.0
Europe,Germany,2020,83.8,1459.0,450.0,1909.0
Europe,Hungary,2020,9.7,172.0,30.0,202.0
Europe,Latvia,2020,1.9,38.0,3.0,41.0
Europe,Lithuania,2020,2.7,79.0,3.0,82.0
Europe,Luxembourg,2020,0.6,,,
Europe,Malta,2020,0.4,4.0,0.0,4.0
Europe,Netherlands,2020,17.1,442.0,367.0,809.0
Europe,Slovenia,2020,2.1,46.0,1.0,47.0
Europe,Sweden,2020,10.1,313.0,116.0,429.0
Europe,United Kingdom,2020,67.9,2009.0,558.0,2567.0
Europe,Spain,2020,46.8,2443.0,259.0,2702.0
Europe,Armenia,2020,3,0.0,10.0,10.0
Europe,Georgia,2020,4,0.0,17.0,17.0
Europe,Iceland,2020,0.3,3.0,7.0,10.0
Europe,Israel,2020,8.7,124.0,273.0,397.0
Europe,Republic of North Macedonia,2020,2.1,4.0,8.0,12.0
Europe,Norway,2020,5.4,181.0,59.0,240.0
America,United States of America,2020,331,18410.0,5234.0,23644.0
America,Costa Rica,2020,5.1,33.0,8.0,41.0
America,Dominican Republic,2020,10.8,8.0,20.0,28.0
America,Paraguay,2020,7.1,1.0,3.0,4.0
Europe,Belarus,2020,9.4,315.0,1.0,316.0
Europe,Ukraine,2020,43.7,20.0,79.0,99.0
Europe,Italy,2020,60.5,1623.0,284.0,1907.0
Europe,Poland,2020,37.8,720.0,31.0,751.0
Europe,Portugal,2020,10.2,353.0,41.0,394.0
Europe,Republic of Moldova,2020,4,2.0,1.0,3.0
America,Argentina,2020,45.2,724.0,130.0,854.0
America,Panama,2020,4.3,6.0,7.0,13.0
America,Uruguay,2020,3.5,112.0,8.0,120.0
Europe,Czech Republic,2020,10.7,415.0,28.0,443.0
America,Mexico,2020,128.9,283.0,630.0,913.0
Europe,France,2020,65.3,2205.0,390.0,2595.0
Europe,Cyprus,2020,1.2,5.0,8.0,13.0
America,El Salvador,2020,6.5,0.0,11.0,11.0
Europe,Greece,2020,10.4,86.0,89.0,175.0
America,Brazil,2020,212.6,4385.0,445.0,4830.0
America,Peru,2020,33,29.0,20.0,49.0
Western Pacific,Australia,2020,25.5,704.0,181.0,885.0
