"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"United Arab Emirates","Inflow of working-age foreign-born population by sex and education (thousands)","PC - Population Census","Sex: Total","Education (Aggregate levels): Total","2005",147.345,,,
"United Arab Emirates","Inflow of working-age foreign-born population by sex and education (thousands)","PC - Population Census","Sex: Male","Education (Aggregate levels): Total","2005",105.821,,,
"United Arab Emirates","Inflow of working-age foreign-born population by sex and education (thousands)","PC - Population Census","Sex: Female","Education (Aggregate levels): Total","2005",41.524,,,
"United Arab Emirates","Inflow of working-age foreign-born population by sex and education (thousands)","OE - Official Estimates","Sex: Total","Education (Aggregate levels): Total","2008",1793.596,,,
"United Arab Emirates","Inflow of working-age foreign-born population by sex and education (thousands)","OE - Official Estimates","Sex: Total","Education (Aggregate levels): Total","2007",1146.347,,,
"United Arab Emirates","Inflow of working-age foreign-born population by sex and education (thousands)","OE - Official Estimates","Sex: Total","Education (Aggregate levels): Total","2006",849.471,,,
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Total","Education (Aggregate levels): Total","2018",3.708,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Total","Education (Aggregate levels): Less than basic","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Total","Education (Aggregate levels): Basic","2018",0.095,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Total","Education (Aggregate levels): Intermediate","2018",2.881,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Total","Education (Aggregate levels): Advanced","2018",0.732,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Total","Education (Aggregate levels): Level not stated","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Male","Education (Aggregate levels): Total","2018",2.323,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Male","Education (Aggregate levels): Less than basic","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Male","Education (Aggregate levels): Basic","2018",0.095,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Male","Education (Aggregate levels): Intermediate","2018",1.598,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Male","Education (Aggregate levels): Advanced","2018",0.63,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Male","Education (Aggregate levels): Level not stated","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Female","Education (Aggregate levels): Total","2018",1.385,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working-age foreign-born population by sex and education (thousands)","LFS - Household Labour Force Survey","Sex: Female","Education (Aggregate levels): Less than basic","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
