"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Total","Country of citizenship: Total","2021",2.545,,,"Institution producing the data: National Statistical Office | Population coverage: Excluding institutional population | Resident population definition: Living or intending to live in the country for 12 months or more | Age coverage - maximum age: 74 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Male","Country of citizenship: Total","2021",1.278,,,"Institution producing the data: National Statistical Office | Population coverage: Excluding institutional population | Resident population definition: Living or intending to live in the country for 12 months or more | Age coverage - maximum age: 74 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Female","Country of citizenship: Total","2021",1.267,,,"Institution producing the data: National Statistical Office | Population coverage: Excluding institutional population | Resident population definition: Living or intending to live in the country for 12 months or more | Age coverage - maximum age: 74 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Female","Country of citizenship: Other countries","2021",1.267,,,"Institution producing the data: National Statistical Office | Population coverage: Excluding institutional population | Resident population definition: Living or intending to live in the country for 12 months or more | Age coverage - maximum age: 74 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Total","Country of citizenship: Total","2018",3.117,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Total","Country of citizenship: Russian Federation","2018",2.095,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Total","Country of citizenship: Other countries","2018",1.022,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Male","Country of citizenship: Total","2018",2.251,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Male","Country of citizenship: Russian Federation","2018",1.742,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Male","Country of citizenship: Other countries","2018",0.509,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Female","Country of citizenship: Total","2018",0.866,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Female","Country of citizenship: Russian Federation","2018",0.353,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of working age foreign citizens by sex and country of citizenship (thousands)","LFS - Household Labour Force Survey","Sex: Female","Country of citizenship: Other countries","2018",0.513,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
