"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"United Arab Emirates","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Total","Occupation (Skill level): Total","2005",103.189,,,
"United Arab Emirates","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Total","Occupation (ISCO-08): Total","2005",103.189,,,
"United Arab Emirates","Inflow of employed foreign-born population by sex and occupation (thousands)","ADM - Ministry of Labour Data Library","Sex: Total","Occupation (Skill level): Total","2013",426.787,,,
"United Arab Emirates","Inflow of employed foreign-born population by sex and occupation (thousands)","ADM - Ministry of Labour Data Library","Sex: Total","Occupation (ISCO-08): Total","2013",426.787,,,
"United Arab Emirates","Inflow of employed foreign-born population by sex and occupation (thousands)","ADM - Ministry of Labour Data Library","Sex: Total","Occupation (Skill level): Total","2012",945.46,,,
"United Arab Emirates","Inflow of employed foreign-born population by sex and occupation (thousands)","ADM - Ministry of Labour Data Library","Sex: Total","Occupation (ISCO-08): Total","2012",945.46,,,
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Total","Occupation (Skill level): Total","2018",0.945,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2018",0.365,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Total","Occupation (Skill level): Skill level 2 ~ medium","2018",0.58,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Total","Occupation (Skill level): Skill level 1 ~ low","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Total","Occupation (Skill level): Not elsewhere classified","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Male","Occupation (Skill level): Total","2018",0.782,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","2018",0.263,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Male","Occupation (Skill level): Skill level 2 ~ medium","2018",0.519,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Male","Occupation (Skill level): Skill level 1 ~ low","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Male","Occupation (Skill level): Not elsewhere classified","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Female","Occupation (Skill level): Total","2018",0.163,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","2018",0.102,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Female","Occupation (Skill level): Skill level 2 ~ medium","2018",0.061,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Female","Occupation (Skill level): Skill level 1 ~ low","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
"Armenia","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Household Labour Force Survey","Sex: Female","Occupation (Skill level): Not elsewhere classified","2018",0,,,"Population coverage: Excluding institutional population | Age coverage - maximum age: 75 years old"
