country_code,indicator_name,year,poverty_rate_ratio
AUS,POVERTY,2012,0.14
AUS,POVERTY,2014,0.128
AUS,POVERTY,2016,0.121
AUS,POVERTY,2018,0.124
AUS,POVERTY,2020,0.126
AUT,POVERTY,2007,0.097
AUT,POVERTY,2008,0.093
AUT,POVERTY,2009,0.096
AUT,POVERTY,2010,0.089
AUT,POVERTY,2011,0.091
AUT,POVERTY,2012,0.096
AUT,POVERTY,2013,0.09
AUT,POVERTY,2014,0.091
AUT,POVERTY,2015,0.087
AUT,POVERTY,2016,0.098
AUT,POVERTY,2017,0.094
AUT,POVERTY,2018,0.094
AUT,POVERTY,2019,0.1
AUT,POVERTY,2020,0.096
BEL,POVERTY,2018,0.082
BEL,POVERTY,2019,0.081
BEL,POVERTY,2020,0.073
CAN,POVERTY,1976,0.131
CAN,POVERTY,1977,0.139
CAN,POVERTY,1978,0.132
CAN,POVERTY,1979,0.133
CAN,POVERTY,1980,0.131
CAN,POVERTY,1981,0.123
CAN,POVERTY,1982,0.125
CAN,POVERTY,1983,0.132
CAN,POVERTY,1984,0.133
CAN,POVERTY,1985,0.124
CAN,POVERTY,1986,0.119
CAN,POVERTY,1987,0.12
CAN,POVERTY,1988,0.114
CAN,POVERTY,1989,0.109
CAN,POVERTY,1990,0.119
CAN,POVERTY,1991,0.118
CAN,POVERTY,1992,0.121
CAN,POVERTY,1993,0.119
CAN,POVERTY,1994,0.117
CAN,POVERTY,1995,0.118
CAN,POVERTY,1996,0.124
CAN,POVERTY,1997,0.125
CAN,POVERTY,1998,0.124
CAN,POVERTY,1999,0.117
CAN,POVERTY,2000,0.12
CAN,POVERTY,2001,0.117
CAN,POVERTY,2002,0.123
CAN,POVERTY,2003,0.124
CAN,POVERTY,2004,0.129
CAN,POVERTY,2005,0.123
CAN,POVERTY,2006,0.129
CAN,POVERTY,2007,0.129
CAN,POVERTY,2008,0.127
CAN,POVERTY,2009,0.134
CAN,POVERTY,2010,0.131
CAN,POVERTY,2011,0.131
CAN,POVERTY,2012,0.133
CAN,POVERTY,2013,0.132
CAN,POVERTY,2014,0.126
CAN,POVERTY,2015,0.141
CAN,POVERTY,2016,0.124
CAN,POVERTY,2017,0.12
CAN,POVERTY,2018,0.118
CAN,POVERTY,2019,0.115
CAN,POVERTY,2020,0.086
CZE,POVERTY,2004,0.058
CZE,POVERTY,2005,0.055
CZE,POVERTY,2006,0.056
CZE,POVERTY,2007,0.055
CZE,POVERTY,2008,0.059
CZE,POVERTY,2009,0.06
CZE,POVERTY,2010,0.065
CZE,POVERTY,2011,0.059
CZE,POVERTY,2012,0.052
CZE,POVERTY,2013,0.059
CZE,POVERTY,2014,0.059
CZE,POVERTY,2015,0.064
CZE,POVERTY,2016,0.056
CZE,POVERTY,2017,0.056
CZE,POVERTY,2018,0.061
CZE,POVERTY,2019,0.056
CZE,POVERTY,2020,0.053
DNK,POVERTY,2011,0.058
DNK,POVERTY,2012,0.054
DNK,POVERTY,2013,0.054
DNK,POVERTY,2014,0.055
DNK,POVERTY,2015,0.055
DNK,POVERTY,2016,0.058
DNK,POVERTY,2017,0.061
DNK,POVERTY,2018,0.064
DNK,POVERTY,2019,0.065
FIN,POVERTY,1987,0.052
FIN,POVERTY,1988,0.056
FIN,POVERTY,1989,0.057
FIN,POVERTY,1990,0.056
FIN,POVERTY,1991,0.054
FIN,POVERTY,1992,0.05
FIN,POVERTY,1993,0.042
FIN,POVERTY,1994,0.042
FIN,POVERTY,1995,0.042
FIN,POVERTY,1996,0.046
FIN,POVERTY,1997,0.048
FIN,POVERTY,1998,0.05
FIN,POVERTY,1999,0.052
FIN,POVERTY,2000,0.053
FIN,POVERTY,2001,0.063
FIN,POVERTY,2002,0.062
FIN,POVERTY,2003,0.056
FIN,POVERTY,2004,0.065
FIN,POVERTY,2005,0.066
FIN,POVERTY,2006,0.069
FIN,POVERTY,2007,0.078
FIN,POVERTY,2008,0.079
FIN,POVERTY,2009,0.074
FIN,POVERTY,2010,0.072
FIN,POVERTY,2011,0.075
FIN,POVERTY,2012,0.065
FIN,POVERTY,2013,0.071
FIN,POVERTY,2014,0.068
FIN,POVERTY,2015,0.063
FIN,POVERTY,2016,0.058
FIN,POVERTY,2017,0.063
FIN,POVERTY,2018,0.065
FIN,POVERTY,2019,0.064
FIN,POVERTY,2020,0.057
FIN,POVERTY,2021,0.067
FRA,POVERTY,2012,0.085
FRA,POVERTY,2013,0.079
FRA,POVERTY,2014,0.081
FRA,POVERTY,2015,0.081
FRA,POVERTY,2016,0.083
FRA,POVERTY,2017,0.081
FRA,POVERTY,2018,0.085
FRA,POVERTY,2019,0.084
DEU,POVERTY,2008,0.09
DEU,POVERTY,2011,0.087
DEU,POVERTY,2012,0.084
DEU,POVERTY,2013,0.091
DEU,POVERTY,2014,0.095
DEU,POVERTY,2015,0.101
DEU,POVERTY,2016,0.104
DEU,POVERTY,2017,0.104
DEU,POVERTY,2018,0.098
DEU,POVERTY,2019,0.109
GRC,POVERTY,2004,0.12
GRC,POVERTY,2005,0.129
GRC,POVERTY,2006,0.127
GRC,POVERTY,2007,0.132
GRC,POVERTY,2008,0.129
GRC,POVERTY,2009,0.129
GRC,POVERTY,2010,0.141
GRC,POVERTY,2011,0.151
GRC,POVERTY,2012,0.149
GRC,POVERTY,2013,0.151
GRC,POVERTY,2014,0.148
GRC,POVERTY,2015,0.149
GRC,POVERTY,2016,0.144
GRC,POVERTY,2017,0.126
GRC,POVERTY,2018,0.121
GRC,POVERTY,2019,0.115
GRC,POVERTY,2020,0.13
HUN,POVERTY,2006,0.072
HUN,POVERTY,2007,0.065
HUN,POVERTY,2008,0.059
HUN,POVERTY,2009,0.061
HUN,POVERTY,2010,0.073
HUN,POVERTY,2011,0.077
HUN,POVERTY,2012,0.085
HUN,POVERTY,2013,0.086
HUN,POVERTY,2014,0.087
HUN,POVERTY,2015,0.085
HUN,POVERTY,2016,0.077
HUN,POVERTY,2017,0.08
HUN,POVERTY,2018,0.087
HUN,POVERTY,2019,0.092
HUN,POVERTY,2020,0.087
ISL,POVERTY,2004,0.058
ISL,POVERTY,2005,0.063
ISL,POVERTY,2006,0.057
ISL,POVERTY,2007,0.066
ISL,POVERTY,2008,0.066
ISL,POVERTY,2009,0.062
ISL,POVERTY,2010,0.066
ISL,POVERTY,2011,0.058
ISL,POVERTY,2012,0.061
ISL,POVERTY,2013,0.045
ISL,POVERTY,2014,0.067
ISL,POVERTY,2015,0.054
ISL,POVERTY,2016,0.06
ISL,POVERTY,2017,0.049
IRL,POVERTY,2004,0.134
IRL,POVERTY,2005,0.116
IRL,POVERTY,2006,0.114
IRL,POVERTY,2007,0.096
IRL,POVERTY,2008,0.091
IRL,POVERTY,2009,0.088
IRL,POVERTY,2010,0.091
IRL,POVERTY,2011,0.1
IRL,POVERTY,2012,0.094
IRL,POVERTY,2013,0.095
IRL,POVERTY,2014,0.093
IRL,POVERTY,2015,0.098
IRL,POVERTY,2016,0.091
IRL,POVERTY,2017,0.09
IRL,POVERTY,2018,0.074
IRL,POVERTY,2019,0.081
IRL,POVERTY,2020,0.077
ITA,POVERTY,2004,0.122
ITA,POVERTY,2005,0.126
ITA,POVERTY,2006,0.123
ITA,POVERTY,2007,0.119
ITA,POVERTY,2008,0.119
ITA,POVERTY,2009,0.12
ITA,POVERTY,2010,0.134
ITA,POVERTY,2011,0.128
ITA,POVERTY,2012,0.13
ITA,POVERTY,2013,0.133
ITA,POVERTY,2014,0.137
ITA,POVERTY,2015,0.144
ITA,POVERTY,2016,0.137
ITA,POVERTY,2017,0.139
ITA,POVERTY,2018,0.142
ITA,POVERTY,2019,0.136
ITA,POVERTY,2020,0.135
KOR,POVERTY,2011,0.186
KOR,POVERTY,2012,0.183
KOR,POVERTY,2013,0.184
KOR,POVERTY,2014,0.182
KOR,POVERTY,2015,0.175
KOR,POVERTY,2016,0.176
KOR,POVERTY,2017,0.173
KOR,POVERTY,2018,0.167
KOR,POVERTY,2019,0.163
KOR,POVERTY,2020,0.153
LUX,POVERTY,2015,0.109
LUX,POVERTY,2016,0.111
LUX,POVERTY,2017,0.122
LUX,POVERTY,2018,0.114
