Continent,Region,country,country_code,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewables_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_style_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,Judicial_system_and_detention,law_enforcement,terroitorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors
Asia,Southern Asia,Afghanistan,AFG,7.075,6.9,8.5,8.0,8.5,6.0,4.0,8.0,9.5,1.0,7.0,8.5,7.25,7.5,8.5,9.0,4.0,2.6666666666666665,3.0,2.5,3.0,3.0,2.0,3.0,3.0,3.0,3.5,2.0,2.0,2.0
Europe,Central & Eastern Europe,Albania,ALB,5.625,5.25,5.0,6.5,4.5,4.5,3.5,5.5,6.0,7.0,7.0,3.0,6.0,7.0,7.5,7.0,2.5,5.041666666666667,5.5,4.5,6.5,6.0,5.0,5.5,5.5,4.0,4.0,4.5,5.0,4.5
Africa,North Africa,Algeria,DZA,4.5125,4.65,4.5,6.5,5.0,2.0,4.5,6.5,2.0,3.5,6.5,5.5,4.375,1.0,5.0,7.0,4.5,4.625,4.5,4.0,5.0,6.0,4.0,6.0,6.5,4.5,4.5,3.0,4.0,3.5
Europe,Western Europe,Andorra,AND,2.9625,2.55,2.5,3.0,3.0,1.0,1.0,3.5,2.0,3.5,4.5,1.5,3.375,1.0,4.0,1.5,7.0,7.75,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.5,8.0,8.5
Africa,Central Africa,Angola,AGO,5.2875,5.2,6.0,4.0,6.0,7.0,4.5,8.5,3.0,6.0,4.5,2.5,5.375,3.0,5.5,8.0,5.0,4.416666666666667,5.0,4.5,5.0,5.0,3.5,4.5,6.0,5.0,4.0,4.0,3.5,3.0
Americas,Caribbean,Antigua and Barbuda,ATG,3.3375,3.05,4.0,2.0,3.0,1.0,3.5,1.5,3.0,6.0,5.0,1.5,3.625,3.0,3.0,3.0,5.5,4.333333333333333,4.5,5.0,5.0,5.0,3.0,4.0,4.0,2.5,5.0,4.0,4.5,5.5
Americas,South America,Argentina,ARG,4.375,3.75,4.0,3.0,3.0,3.0,3.5,3.0,2.0,6.5,6.5,3.0,5.0,4.0,6.0,5.0,5.0,6.333333333333333,7.0,5.0,6.0,7.0,6.0,6.5,6.0,7.0,6.0,6.0,5.5,8.0
Asia,Central Asia and the Caucasus,Armenia,ARM,3.2625,3.4,3.5,2.0,2.5,4.0,4.5,3.5,4.0,2.0,4.0,4.0,3.125,3.0,3.0,3.5,3.0,5.708333333333333,6.0,6.0,6.5,6.0,4.5,6.0,5.5,6.0,5.5,5.5,5.0,6.0
Oceania,Australia and New Zealand,Australia,AUS,4.0,3.75,3.5,3.0,3.5,3.0,3.5,2.0,3.5,5.0,3.5,7.0,4.25,5.0,6.0,2.0,4.0,7.958333333333333,8.0,8.5,9.0,8.0,8.0,8.0,9.0,7.0,7.0,7.5,7.5,8.0
Europe,Western Europe,Austria,AUT,4.0375,3.95,4.5,5.0,6.5,2.0,2.5,2.0,4.5,3.5,4.5,4.5,4.125,2.0,4.0,4.0,6.5,7.416666666666667,7.0,6.5,7.0,8.0,8.0,8.5,8.0,6.0,7.0,8.0,8.0,7.0
Asia,Central Asia and the Caucasus,Azerbaijan,AZE,5.075,4.15,4.5,3.0,3.0,3.5,3.5,6.0,6.0,3.0,5.0,4.0,6.0,5.5,5.5,7.5,5.5,4.083333333333333,3.5,3.5,5.5,4.0,2.5,4.0,5.0,4.5,4.0,4.0,5.0,3.5
Americas,Caribbean,Bahamas,BHS,3.7875,3.95,4.5,5.0,4.5,1.0,4.5,2.0,4.0,7.0,4.0,3.0,3.625,3.5,2.0,3.0,6.0,5.208333333333333,6.0,6.0,6.0,6.0,3.5,6.0,5.0,4.5,4.0,6.5,5.0,4.0
Asia,Western Asia,Bahrain,BHR,4.825,5.65,7.5,5.5,5.5,4.0,6.0,6.5,5.0,4.0,6.0,6.5,4.0,1.0,6.0,4.0,5.0,5.541666666666667,6.0,5.0,7.0,5.5,5.0,5.0,6.5,5.5,6.0,5.5,5.5,4.0
Asia,Southern Asia,Bangladesh,BGD,4.975,4.95,8.0,6.0,5.0,4.0,5.0,3.5,4.5,3.0,4.0,6.5,5.0,5.5,5.5,7.0,2.0,4.125,3.5,4.0,5.5,5.0,3.0,4.0,5.0,4.5,3.5,3.5,4.0,4.0
Americas,Caribbean,Barbados,BRB,3.2125,2.55,3.5,2.0,4.0,1.0,1.0,2.0,1.0,5.5,4.5,1.0,3.875,5.0,4.5,4.0,2.0,5.708333333333333,5.5,7.0,7.0,6.0,4.5,6.5,6.0,5.0,3.5,5.5,6.0,6.0
Europe,Central & Eastern Europe,Belarus,BLR,5.075,4.4,7.0,5.5,6.5,3.0,2.0,5.0,4.0,2.0,4.0,5.0,5.75,4.0,5.0,9.0,5.0,3.7916666666666665,3.5,2.0,3.0,4.0,3.0,5.0,4.5,4.5,5.0,3.0,5.0,3.0
Europe,Western Europe,Belgium,BEL,4.3375,5.05,5.0,5.5,5.5,2.5,3.5,3.0,4.0,7.5,6.5,7.5,3.625,3.0,4.5,2.0,5.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,6.0,7.0,7.0,7.5,6.5,8.0
Americas,Central America,Belize,BLZ,4.6375,4.4,5.0,5.0,4.5,5.5,4.5,3.0,3.5,4.5,5.5,3.0,4.875,6.5,3.5,4.5,5.0,3.125,5.0,2.5,3.0,3.0,4.0,4.5,2.0,2.0,1.5,3.0,3.0,4.0
Africa,West Africa,Benin,BEN,5.25,5.25,6.0,4.0,5.5,6.0,5.5,5.0,4.5,6.0,4.0,6.0,5.25,1.0,6.0,6.0,8.0,3.5416666666666665,4.0,4.5,4.0,3.0,3.0,4.0,3.5,3.0,4.0,3.0,2.0,4.5
Asia,Southern Asia,Bhutan,BTN,3.6875,3.75,5.0,3.0,2.0,7.0,5.5,4.5,2.0,1.5,4.0,3.0,3.625,4.0,3.5,3.0,4.0,4.583333333333333,6.0,6.0,4.5,4.5,5.5,5.0,3.5,4.0,5.0,3.5,4.0,3.5
Americas,South America,Bolivia,BOL,4.3,4.6,5.0,2.0,4.0,7.0,5.0,8.0,2.0,8.5,2.5,2.0,4.0,3.5,2.0,6.0,4.5,4.875,5.0,4.0,5.0,6.0,3.5,5.0,5.0,4.5,5.0,5.0,6.0,4.5
Europe,Central & Eastern Europe,Bosnia and Herzegovina,BIH,5.8875,5.15,5.5,7.0,6.0,4.5,4.0,3.0,6.0,4.5,5.5,5.5,6.625,4.0,6.5,8.0,8.0,3.9166666666666665,3.0,4.0,5.0,4.0,3.5,3.5,4.0,4.0,3.5,4.0,4.0,4.5
Africa,Southern Africa,Botswana,BWA,3.7125,3.8,4.5,3.0,3.0,2.0,7.5,3.5,3.5,3.5,4.0,3.5,3.625,1.0,5.5,3.0,5.0,5.625,6.0,5.0,8.0,6.0,6.5,5.0,5.0,4.5,5.5,5.5,4.5,6.0
Americas,South America,Brazil,BRA,6.5,6.5,5.0,4.0,8.0,8.5,8.5,8.0,2.0,9.0,8.0,4.0,6.5,7.5,6.5,8.5,3.5,5.041666666666667,3.0,4.5,7.5,4.5,3.0,5.0,5.5,6.0,6.0,5.0,4.0,6.5
Asia,South-Eastern Asia,Brunei,BRN,2.7625,3.15,4.5,4.0,2.5,3.0,4.0,2.0,2.5,1.5,3.5,4.0,2.375,1.0,2.5,2.0,4.0,4.583333333333333,4.0,4.0,4.5,4.5,4.0,5.0,5.5,5.5,6.5,3.5,4.5,3.5
Europe,Central & Eastern Europe,Bulgaria,BGR,5.425,5.1,6.0,5.0,3.5,5.5,5.0,5.0,6.0,4.0,5.0,6.0,5.75,4.5,6.5,7.5,4.5,5.291666666666667,4.5,5.0,6.5,6.0,5.5,5.5,6.5,6.0,4.5,4.5,5.0,4.0
Africa,West Africa,Burkina Faso,BFA,5.4875,5.35,6.0,4.0,8.0,4.0,6.0,8.5,4.0,4.0,3.0,6.0,5.625,3.5,6.5,6.5,6.0,3.625,3.5,4.0,5.5,5.0,4.0,3.0,3.0,3.0,3.0,2.5,2.0,5.0
Africa,Central Africa,Burundi,BDI,4.5125,4.4,8.5,5.5,8.0,2.0,4.5,4.0,3.0,2.5,3.5,2.5,4.625,1.0,4.5,9.0,4.0,2.0833333333333335,2.5,1.0,1.5,2.5,2.5,1.5,3.0,2.0,2.0,1.5,2.5,2.5
Africa,West Africa,Cabo Verde,CPV,4.0375,3.7,4.5,2.0,2.5,2.5,4.0,1.0,4.0,7.0,5.0,4.5,4.375,2.5,4.0,4.0,7.0,6.333333333333333,6.5,6.0,8.5,7.0,7.0,6.0,7.5,5.0,6.0,3.5,6.0,7.0
Asia,South-Eastern Asia,Cambodia,KHM,5.825,6.15,7.5,6.5,5.0,8.0,8.0,8.0,4.0,2.5,4.5,7.5,5.5,2.5,4.0,8.5,7.0,3.9166666666666665,4.5,3.5,5.0,4.5,4.0,4.5,4.5,4.0,4.0,3.0,3.0,2.5
Africa,Central Africa,Cameroon,CMR,6.3125,6.25,6.5,5.5,6.5,7.0,7.5,7.5,4.5,3.5,7.0,7.0,6.375,4.0,7.5,8.0,6.0,3.125,2.0,1.5,5.0,4.5,2.5,4.0,2.0,3.5,2.5,2.5,2.5,5.0
Americas,North America,Canada,CAN,3.6625,3.45,3.5,4.0,2.5,2.0,3.0,3.0,5.0,3.5,3.0,5.0,3.875,5.0,4.0,2.0,4.5,7.25,7.5,7.0,8.0,8.0,7.0,7.0,6.0,6.5,7.5,8.5,6.0,8.0
Africa,Central Africa,Central African Republic,CAF,7.0375,5.7,7.5,4.5,8.5,6.5,8.0,9.0,1.5,1.5,3.0,7.0,8.375,9.0,8.0,8.5,8.0,1.9166666666666667,1.5,1.5,3.0,2.5,2.0,1.5,1.5,2.0,1.5,3.0,1.0,2.0
