ref_area,indicator,source,sex,classif1,time,obs_value
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2022,50.57
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2021,50.57
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2020,49.61
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2019,46.08
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2019,51.16
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2019,44.53
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2019,44.76
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2019,51.91
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2019,42.61
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2019,47.39
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2019,50.41
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2019,46.46
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2018,43.77
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2018,49.25
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2018,42.09
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2018,42.52
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2018,50.04
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2018,40.24
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2018,45.02
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2018,48.46
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2018,43.95
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2017,39.85
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2017,45.94
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2017,37.97
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2017,38.76
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2017,46.81
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2017,36.3
